Ticker,Quarter,Depreciation,EPS in Rs,Expenses +,Interest,Net Profit +,Other Income +,Profit before tax,Tax %,Average Stock Price
LALPATHLAB.NS,2022-09-01,39.0,8.6,390.0,11.0,72.0,9.0,103.0,30.0,2410.517286731351
LALPATHLAB.NS,2022-12-01,38.0,6.33,376.0,9.0,54.0,10.0,76.0,30.0,2123.4380328466023
LALPATHLAB.NS,2023-03-01,38.0,6.8,375.0,9.0,57.0,14.0,83.0,32.0,1875.5178263346354
LALPATHLAB.NS,2023-06-01,35.0,9.9,395.0,8.0,84.0,14.0,118.0,29.0,2191.269863128662
LALPATHLAB.NS,2023-09-01,36.0,13.09,424.0,8.0,111.0,18.0,152.0,27.0,2434.013838704427
LALPATHLAB.NS,2023-12-01,36.0,9.74,398.0,7.0,82.0,18.0,116.0,29.0,2469.788314327117
LALPATHLAB.NS,2024-03-01,37.0,10.12,401.0,7.0,86.0,18.0,120.0,28.0,2293.565727621822
LALPATHLAB.NS,2024-06-01,35.0,12.75,432.0,6.0,108.0,21.0,150.0,28.0,2969.4878638482865
LALPATHLAB.NS,2024-09-01,35.0,15.46,458.0,6.0,131.0,22.0,183.0,29.0,3218.1287526776714
LALPATHLAB.NS,2024-12-01,36.0,11.57,443.0,5.0,98.0,25.0,138.0,29.0,2835.914726257324
LALPATHLAB.NS,2025-03-01,36.0,18.52,434.0,5.0,156.0,26.0,153.0,-1.0,2655.967202396716
LALPATHLAB.NS,2025-06-01,35.0,15.8,478.0,5.0,134.0,28.0,181.0,26.0,3026.0437202453613
LAURUSLABS.NS,2022-06-01,71.0,4.68,1085.0,29.0,252.0,2.0,356.0,29.0,516.2652273026723
LAURUSLABS.NS,2022-09-01,82.0,4.33,1127.0,40.0,233.0,1.0,328.0,29.0,492.447031820974
LAURUSLABS.NS,2022-12-01,84.0,3.77,1141.0,43.0,203.0,1.0,278.0,27.0,359.68719094897074
LAURUSLABS.NS,2023-03-01,87.0,1.91,1095.0,53.0,105.0,2.0,147.0,27.0,309.2205769856771
LAURUSLABS.NS,2023-06-01,91.0,0.46,1015.0,39.0,27.0,4.0,41.0,30.0,364.6397228240967
LAURUSLABS.NS,2023-09-01,93.0,0.69,1037.0,42.0,37.0,2.0,54.0,27.0,383.01446329752605
LAURUSLABS.NS,2023-12-01,98.0,0.43,1014.0,51.0,23.0,2.0,35.0,27.0,400.4935839253087
LAURUSLABS.NS,2024-03-01,102.0,1.4,1198.0,50.0,75.0,19.0,107.0,30.0,425.9047173968816
LAURUSLABS.NS,2024-06-01,106.0,0.23,1024.0,49.0,13.0,3.0,18.0,34.0,441.20062206637476
LAURUSLABS.NS,2024-09-01,108.0,0.37,1045.0,53.0,20.0,5.0,23.0,22.0,483.0402029714277
LAURUSLABS.NS,2024-12-01,106.0,1.71,1130.0,58.0,93.0,9.0,131.0,31.0,577.3172488212585
LAURUSLABS.NS,2025-03-01,110.0,4.33,1300.0,56.0,233.0,59.0,312.0,25.0,600.3872504800053
LAURUSLABS.NS,2025-06-01,117.0,3.02,1187.0,52.0,162.0,10.0,224.0,28.0,779.1499977111816
LEMONTREE.NS,2022-06-01,24.0,0.17,104.0,43.0,14.0,1.0,21.0,34.0,66.37619048830062
LEMONTREE.NS,2022-09-01,25.0,0.21,103.0,45.0,19.0,1.0,25.0,22.0,86.76612927836757
LEMONTREE.NS,2022-12-01,24.0,0.5,107.0,44.0,49.0,1.0,59.0,18.0,80.6531745062934
LEMONTREE.NS,2023-03-01,24.0,0.56,113.0,45.0,59.0,2.0,73.0,20.0,84.12583376566569
LEMONTREE.NS,2023-06-01,23.0,0.3,118.0,48.0,28.0,1.0,36.0,24.0,95.34218692779541
LEMONTREE.NS,2023-09-01,23.0,0.29,125.0,47.0,26.0,3.0,35.0,25.0,115.07333297729492
LEMONTREE.NS,2023-12-01,33.0,0.45,149.0,53.0,44.0,1.0,56.0,21.0,130.23951647358555
LEMONTREE.NS,2024-03-01,33.0,0.85,156.0,53.0,84.0,4.0,89.0,6.0,140.14915298203292
LEMONTREE.NS,2024-06-01,35.0,0.25,153.0,52.0,20.0,0.0,29.0,31.0,140.38016140845514
LEMONTREE.NS,2024-09-01,35.0,0.37,154.0,51.0,35.0,1.0,45.0,23.0,123.55516113773469
LEMONTREE.NS,2024-12-01,35.0,0.79,171.0,50.0,80.0,1.0,100.0,20.0,140.95015704631805
LEMONTREE.NS,2025-03-01,35.0,1.07,175.0,47.0,108.0,1.0,122.0,12.0,136.50254201080838
LEMONTREE.NS,2025-06-01,34.0,0.48,176.0,45.0,48.0,2.0,63.0,23.0,147.2989058494568
LTIM.NS,2022-06-01,166.0,63.06,6151.0,31.0,1106.0,178.0,1474.0,25.0,4211.3343835255455
LTIM.NS,2022-09-01,196.0,40.18,6592.0,38.0,1189.0,161.0,1563.0,24.0,4520.017239478327
LTIM.NS,2022-12-01,178.0,33.82,7245.0,38.0,1001.0,152.0,1311.0,24.0,4340.861421130952
LTIM.NS,2023-03-01,182.0,37.65,7087.0,44.0,1114.0,66.0,1444.0,23.0,4483.853385416666
LTIM.NS,2023-06-01,185.0,38.92,7067.0,46.0,1152.0,132.0,1536.0,25.0,4884.793197631836
LTIM.NS,2023-09-01,208.0,39.26,7274.0,47.0,1162.0,143.0,1519.0,24.0,5205.974039713542
LTIM.NS,2023-12-01,199.0,39.49,7432.0,61.0,1169.0,220.0,1545.0,24.0,5629.881009009577
LTIM.NS,2024-03-01,227.0,37.14,7357.0,68.0,1101.0,208.0,1448.0,24.0,4773.394274695445
LTIM.NS,2024-06-01,235.0,38.28,7536.0,72.0,1135.0,227.0,1526.0,26.0,5345.583645728327
LTIM.NS,2024-09-01,241.0,42.24,7734.0,70.0,1252.0,299.0,1687.0,26.0,6064.129819808468
LTIM.NS,2024-12-01,264.0,36.63,8068.0,69.0,1087.0,212.0,1472.0,26.0,5815.142974853516
LTIM.NS,2025-03-01,251.0,38.09,8176.0,67.0,1129.0,251.0,1529.0,26.0,4588.758503542108
LTIM.NS,2025-06-01,243.0,42.32,8191.0,72.0,1255.0,392.0,1726.0,27.0,5224.859375
LTTS.NS,2022-06-01,59.0,26.09,1598.0,11.0,276.0,41.0,379.0,27.0,3242.2690700954863
LTTS.NS,2022-09-01,59.0,28.41,1844.0,11.0,301.0,38.0,406.0,26.0,3511.671642672631
LTTS.NS,2022-12-01,59.0,28.11,1721.0,12.0,298.0,74.0,439.0,32.0,3580.615242125496
LTTS.NS,2023-03-01,57.0,32.2,1890.0,11.0,341.0,50.0,462.0,26.0,3527.6287760416667
LTTS.NS,2023-06-01,57.0,29.44,1849.0,12.0,312.0,48.0,431.0,28.0,3957.0531997680664
