,Normalized EBITDA,Reconciled Depreciation,EBITDA,EBIT,Interest Expense,Diluted Average Shares,Diluted EPS,Net Income,Tax Provision,Other Non Operating Income Expenses,Operating Income,Operating Expense,Other Operating Expenses,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,Ticker,Sector
2024-09-30,804928000.0,168374000.0,804928000.0,636554000.0,64684000.0,102785294.0,4.08,419364000.0,150623000.0,45099000.0,591455000.0,1008146000.0,561400000.0,1599601000.0,229881000.0,1829482000.0,1829482000.0,VIJAYA.NS,Healthcare
2024-06-30,648010000.0,166340000.0,648010000.0,481670000.0,62651000.0,102771148.0,3.05,313452000.0,103967000.0,35640000.0,446030000.0,928561000.0,488641000.0,1374591000.0,187577000.0,1562168000.0,1562168000.0,VIJAYA.NS,Healthcare
2025-06-30,1670800000.0,255500000.0,1670800000.0,1415300000.0,3700000.0,103671642.0,10.05,1041900000.0,369700000.0,73900000.0,1341400000.0,1495500000.0,816300000.0,2836900000.0,2582800000.0,5419700000.0,5419700000.0,VINATIORGA.NS,Chemicals
2025-03-31,1865800000.0,225200000.0,1865800000.0,1640600000.0,1600000.0,,,1230400000.0,408600000.0,61600000.0,1579000000.0,1494000000.0,893500000.0,3073000000.0,3411600000.0,6484600000.0,6484600000.0,VINATIORGA.NS,Chemicals
2024-12-31,1490300000.0,223200000.0,1490300000.0,1267100000.0,900000.0,103650442.0,9.04,937000000.0,329200000.0,66700000.0,1200400000.0,1357800000.0,804900000.0,2558200000.0,2658600000.0,5216800000.0,5216800000.0,VINATIORGA.NS,Chemicals
2024-09-30,1559400000.0,223300000.0,1559400000.0,1336100000.0,700000.0,103737575.0,10.06,1043600000.0,291800000.0,222100000.0,1114000000.0,1398100000.0,820100000.0,2512100000.0,3021100000.0,5533200000.0,5533200000.0,VINATIORGA.NS,Chemicals
2024-06-30,1339300000.0,213600000.0,1339300000.0,1125700000.0,4500000.0,103633005.0,8.12,841500000.0,279700000.0,92600000.0,1033100000.0,1322900000.0,772900000.0,2356000000.0,2891200000.0,5247200000.0,5247200000.0,VINATIORGA.NS,Chemicals
2025-06-30,1291000000.0,679200000.0,1291000000.0,611800000.0,182400000.0,79809976.0,4.21,336000000.0,93400000.0,29300000.0,582500000.0,2541200000.0,912300000.0,3123700000.0,5728500000.0,8852200000.0,8852200000.0,VMART.NS,Consumer Discretionary
2025-03-31,1056100000.0,659000000.0,1056100000.0,397100000.0,168200000.0,,,185100000.0,43800000.0,-47200000.0,148500000.0,2189400000.0,-948400000.0,2337900000.0,5398000000.0,7735900000.0,7735900000.0,VMART.NS,Consumer Discretionary
2024-12-31,1747500000.0,625800000.0,1747500000.0,1121700000.0,424300000.0,79988833.0,8.955,716300000.0,-18900000.0,33800000.0,1087900000.0,2583900000.0,1004700000.0,3671800000.0,6595500000.0,10267300000.0,10267300000.0,VMART.NS,Consumer Discretionary
2024-09-30,403900000.0,592400000.0,403900000.0,-188500000.0,391400000.0,79117956.0,-7.1425,-565100000.0,-14800000.0,17700000.0,-206200000.0,2427000000.0,969400000.0,2220800000.0,4388900000.0,6609700000.0,6609700000.0,VMART.NS,Consumer Discretionary
2024-06-30,1036200000.0,568100000.0,1036200000.0,468100000.0,374900000.0,79346405.0,1.53,121400000.0,-28200000.0,46400000.0,421700000.0,2345400000.0,936500000.0,2767100000.0,5093700000.0,7860800000.0,7860800000.0,VMART.NS,Consumer Discretionary
2025-06-30,6090100000.0,847800000.0,6090100000.0,5242300000.0,631800000.0,263671934.0,13.29,3504200000.0,1118900000.0,350300000.0,4402300000.0,10805300000.0,7107000000.0,15207600000.0,20307300000.0,35514900000.0,35514900000.0,WELCORP.NS,Metals & Mining
2025-03-31,5070300000.0,869900000.0,10211000000.0,9341100000.0,788800000.0,,,6983100000.0,1560400000.0,-1236700000.0,3910500000.0,-1067700000.0,-2576300000.0,2842800000.0,29849700000.0,32692500000.0,32692500000.0,WELCORP.NS,Metals & Mining
2024-12-31,5437800000.0,900400000.0,9216900000.0,8316500000.0,822600000.0,263554688.0,25.6,6747000000.0,772000000.0,430600000.0,3444100000.0,9484600000.0,6042200000.0,12928700000.0,23206400000.0,36135100000.0,36135100000.0,WELCORP.NS,Metals & Mining
2024-09-30,5356300000.0,892100000.0,5246900000.0,4354800000.0,834600000.0,262294333.0,10.94,2869500000.0,690600000.0,624000000.0,3103900000.0,9342700000.0,5843900000.0,12446600000.0,20571700000.0,33018300000.0,33018300000.0,WELCORP.NS,Metals & Mining
2024-06-30,4564600000.0,848300000.0,4564600000.0,3716300000.0,663900000.0,262346723.0,9.46,2481800000.0,573000000.0,424400000.0,2891200000.0,8536800000.0,5490100000.0,11428000000.0,19944300000.0,31372300000.0,31372300000.0,WELCORP.NS,Metals & Mining
2025-06-30,917978000.0,550342000.0,921284000.0,370942000.0,354330000.0,153437500.0,0.08,12275000.0,4327000.0,68034000.0,299592000.0,3428845000.0,2919042000.0,3728437000.0,2804089000.0,6532526000.0,6532526000.0,WESTLIFE.NS,Consumer Discretionary
2025-03-31,867055000.0,528368000.0,869949000.0,341581000.0,328215000.0,,,15225000.0,-1859000.0,99539000.0,239148000.0,3028197000.0,2579459000.0,3267345000.0,2681552000.0,5948897000.0,5948897000.0,WESTLIFE.NS,Consumer Discretionary
